Layer,1_token,2_token,3_token,4_token,5_token,6_token,7_token,8_token,9_token,10_token,11_token,12_token,13_token,14_token,15_token,EOS,Mean
Layer_1,0.0022777016,13.9806385,19.294538,16.343475,17.105806,16.571037,18.545456,17.537199,17.014385,17.331333,20.768677,23.987751,24.556232,25.646301,19.911953,14.004169,17.6625767626
Layer_2,0.21101849,9.41304,11.455332,9.259063,9.437378,9.455805,11.404506,9.761008,9.655173,9.980802,13.661396,15.049899,13.441988,14.729042,10.72064,7.037226,10.292082280625
Layer_3,0.022525351,6.4527917,7.4126844,6.1528997,6.433032,6.200202,7.9172077,6.1716366,6.3437934,6.856565,9.500643,10.47842,8.796216,9.949635,5.786521,4.8937316,6.8355315281874995
Layer_4,0.030516215,2.942883,3.6221378,3.1334858,3.5036378,3.1098459,4.712446,3.555524,3.148531,4.2420497,5.3230114,5.1305127,4.504142,5.8048153,3.6798105,3.1728613,3.7260131509375003
Layer_5,0.035747997,1.1352757,1.7585919,1.3588436,1.7060434,1.5517881,2.5571973,1.7709723,1.4059409,2.1324008,1.4338192,1.069942,1.082933,0.8294018,0.8416364,1.6854765,1.3972506810624998
Layer_6,0.038455013,0.6235923,0.8789156,0.8696371,0.97138244,0.9525415,0.9603891,0.87997574,0.7845015,1.3434517,0.93485284,0.5247703,0.62150073,0.5781821,0.590935,0.9686455,0.7826080289374999
Layer_7,0.03669605,0.5573311,0.714221,0.80930996,0.8501055,0.87556916,0.9336072,0.8426536,0.77242136,0.94375926,0.7478686,0.5002812,0.57711685,0.5387411,0.52778107,0.7931166,0.6887862256249998
Layer_8,0.040320948,0.4939752,0.67718446,0.7441547,0.8034713,0.8226417,0.8696187,0.7649722,0.7215289,0.76919794,0.80868703,0.5011879,0.60049987,0.5649089,0.46940118,0.7176253,0.64808601425
Layer_9,0.050660446,0.52863884,0.6791601,0.7427085,0.8134808,0.8404744,0.8625148,0.7506409,0.7296177,0.70178765,0.72372943,0.5155498,0.62780744,0.6272272,0.491813,0.73133975,0.65107192225
Layer_10,0.061001714,0.540543,0.68620056,0.7319269,0.82152706,0.8465704,0.8771239,0.75072074,0.7406834,0.7089091,0.7110771,0.5480087,0.6364893,0.5876039,0.44964802,0.72764844,0.651605139625
Layer_11,0.0752895,0.5554936,0.6865559,0.72485346,0.7735431,0.81389165,0.8651903,0.77094656,0.74211115,0.7087762,0.7142192,0.5710465,0.6574364,0.61153424,0.5153638,0.7286274,0.6571799349999999
Layer_12,0.081857465,0.57701445,0.686151,0.730573,0.7988578,0.8442124,0.8598311,0.76255083,0.7507981,0.7229541,0.6935513,0.55564743,0.61148036,0.56870914,0.5400507,0.7220846,0.6566452359375
Layer_13,0.11807098,0.65750825,0.7189578,0.7469797,0.8095744,0.8264915,0.8583566,0.7793041,0.7575726,0.7353193,0.695318,0.53001094,0.6459538,0.5884743,0.54965377,0.7377236,0.6722043525000002
Layer_14,0.14886571,0.69514394,0.72353053,0.7594538,0.85320175,0.91590595,0.92022866,0.8097632,0.80790484,0.75892,0.7190988,0.56468403,0.6336258,0.58723104,0.6155966,0.7344225,0.7029735718750001
Layer_15,0.2168938,0.8151766,0.79468083,0.88833463,0.9728288,1.133981,1.1060308,0.88496095,0.88284343,1.0155524,0.72421014,0.58683455,0.5919428,0.5925205,0.69008505,0.80880815,0.7941052768750003
Layer_16,0.32839677,0.93105793,0.8871802,1.1289481,1.0943128,1.2828541,1.1126294,0.9846925,0.96622235,1.3913877,0.81479084,0.62919724,0.6097933,0.6025269,0.6909257,0.89634526,0.896953818125
Layer_17,0.4306456,1.1850507,1.0515579,1.3520988,1.5318986,1.7284952,1.3371372,1.283126,1.2863715,1.9188054,0.88802224,0.6422335,0.6373355,0.679039,0.9668871,1.0044188,1.1201951899999998
Layer_18,0.6339433,2.1046424,1.4886755,2.1605036,3.704755,3.7494798,2.0215144,1.6279486,1.5394821,2.0033221,1.1551651,0.6255808,0.67934513,1.3131995,1.0866406,1.1871938,1.692586983125
Layer_19,0.89243734,2.747944,1.9626735,3.2717993,3.800356,4.1451373,3.1736207,2.323128,2.0431197,2.53376,1.8643095,0.64736617,0.85107726,1.5686395,1.8876147,1.5466995,2.2037301543750005
Layer_20,1.3461314,3.4851797,2.5080903,3.9470384,4.5386977,5.240946,4.2457485,2.8177881,2.7238429,3.0407166,1.8572359,0.83677495,0.54901636,1.4769915,2.430198,1.8307531,2.6796968381250004
Layer_21,1.790785,3.9202843,3.766897,4.8287716,5.122364,5.564835,4.671657,3.4695714,4.1685076,3.9210107,2.9731517,0.68957293,1.0034688,1.5287871,3.0630057,2.3047438,3.299213351875
Layer_22,2.4045632,4.630007,3.9931867,5.657475,5.6533523,6.1185145,5.794082,4.2853723,4.5213284,4.3223815,3.029851,1.4006822,1.325354,2.0126536,4.160615,2.6664975,3.8734947624999996
Layer_23,2.7422776,5.050664,4.685543,6.415194,6.196284,6.4874234,6.1858044,4.8850665,4.9456778,5.7579193,3.7508123,1.3419571,0.8886532,2.1336157,4.700336,3.1105647,4.3298620625
Layer_24,2.93846,5.1317673,4.7865996,6.6104364,6.6897316,6.720996,6.200605,5.0050125,5.2754602,5.754444,4.6453514,1.7413354,1.0266583,2.4096022,6.429207,3.1795623,4.6590768250000005
Layer_25,3.3722098,5.641129,5.4665394,7.5028486,6.7749114,7.757314,7.4397163,6.9472613,6.244252,6.961585,6.0046244,3.9316056,5.2099934,3.214849,6.0132093,4.2062297,5.7930173875
Layer_26,3.6391063,6.40696,6.298013,7.272268,7.2856135,7.7674904,8.053237,7.7405705,7.391427,7.514595,6.2163982,7.077693,5.450327,4.4195786,7.240904,5.343027,6.569825531249999
Layer_27,3.2081442,6.6891894,7.975345,7.1714463,6.9906635,8.059523,7.51268,7.9828763,8.162103,8.097873,6.6714225,8.912004,7.750785,5.6840754,6.134616,6.0247645,7.06421944375
Layer_28,2.4231536,8.164786,8.938935,8.145531,7.2002993,8.141177,8.402799,8.917679,9.016931,8.192896,8.038144,10.647707,11.51795,8.569019,4.5119295,7.700495,8.0330894625
Mean,0.9757305,3.4306324,3.7356453,3.909288,4.044183,4.233041,4.3000336,3.752247,3.6979473,3.9415166,3.7881947,3.5799372,3.4316115,3.5148892,3.4177494,2.8380284,3.5369171937499995
